outcome,effect,Parameter,Median,MAD,Mean,SD,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage
RAVLT,two.way,Con - (PD-NC) 3,0.188688843607758,0.226473853230499,0.189567401818117,0.22812256355357,0.89,-0.184887039508011,0.544341611544219,0.7978,1,-0.223,0.223,0.52755
RAVLT,two.way,Con - (PD-MCI) 3,1.21851954861421,0.256870756969211,1.21968160261098,0.255812825191139,0.89,0.793046243366393,1.61170917396138,1,1,-0.223,0.223,0.00015
RAVLT,two.way,(PD-NC) - (PD-MCI) 3,1.03419263519996,0.280973119462243,1.03011420079287,0.281940539361884,0.89,0.586359637737424,1.4891208139828,1,1,-0.223,0.223,0.0024
RAVLT,main,Con - (PD-NC),0.510241488190478,0.446895068801401,0.51260770922602,0.449075109955148,0.89,-0.193778532083538,1.23915955551225,0.87425,1,-0.223,0.223,0.20775
RAVLT,main,Con - (PD-MCI),2.18761958723696,0.485537197804042,2.18719075916435,0.488638124735056,0.89,1.38922348926538,2.9398046106574,1,1,-0.223,0.223,1e-04
RAVLT,main,(PD-NC) - (PD-MCI),1.67149514302687,0.534156465780265,1.67458304993833,0.543486576216806,0.89,0.862501235751878,2.60301440618982,0.99895,1,-0.223,0.223,0.0039
RAVLT,simple,Trial1 Con - (Trial1 PD-NC),0.306163468574905,0.492605373391707,0.30434663205773,0.498702984748003,0.89,-0.5347708407215,1.05592858165722,0.73235,1,-0.223,0.223,0.2883
RAVLT,simple,Trial1 Con - (Trial1 PD-MCI),0.846596155452861,0.540490909014289,0.84723356227358,0.545585472452939,0.89,-0.0412659966718474,1.68901627526659,0.9408,1,-0.223,0.223,0.09945
RAVLT,simple,(Trial1 PD-NC) - (Trial1 PD-MCI),0.543039084100469,0.598653329242612,0.542886930215849,0.606845127428323,0.89,-0.460886980156666,1.47870208088229,0.8173,1,-0.223,0.223,0.1922
RAVLT,means,Con,9.86556922892995,0.268378501024361,9.86323415065687,0.272561533316804,0.89,9.43339415086812,10.305434621429,1,1,-0.223,0.223,0
RAVLT,means,PD-NC,9.35139457238511,0.349477157603066,9.35062644143085,0.349361169950406,0.89,8.78981844440908,9.89830984319528,1,1,-0.223,0.223,0
RAVLT,means,PD-MCI,7.67390639251263,0.403406835362789,7.67604339149251,0.410739549800425,0.89,7.00352344980973,8.31823873648644,1,1,-0.223,0.223,0
RAVLT,slopes,Con 3,3.92592303098223,0.138210055034815,3.92631851526325,0.137512361433907,0.89,3.70348287279932,4.14376027140806,1,1,-0.223,0.223,0
RAVLT,slopes,PD-NC 3,3.73980856861807,0.182706163909828,3.73675111344514,0.181973217272082,0.89,3.45246749932515,4.03249794380615,1,1,-0.223,0.223,0
RAVLT,slopes,PD-MCI 3,2.70570614576474,0.21820008232697,2.70663691265227,0.217397328730427,0.89,2.35946486560508,3.0522325208935,1,1,-0.223,0.223,0
BVMT,two.way,Con - (PD-NC) 2,0.113476806198655,0.332008708840259,0.113218354546392,0.334994513854794,0.89,-0.409789546022127,0.656838002493152,0.63435,1,-0.21,0.21,0.447
BVMT,two.way,Con - (PD-MCI) 2,0.291931135495597,0.373710180015587,0.29385625843796,0.377346805896576,0.89,-0.311031914309499,0.891156947803585,0.78305,1,-0.21,0.21,0.3267
BVMT,two.way,(PD-NC) - (PD-MCI) 2,0.179576902754415,0.416329952911983,0.180637903891566,0.416780820246293,0.89,-0.513266260636509,0.813839320494335,0.6664,1,-0.21,0.21,0.35205
BVMT,main,Con - (PD-NC),0.07671853563083,0.415746885137079,0.0747221851569059,0.424996127110109,0.89,-0.593302670546462,0.755221767654686,0.573,1,-0.21,0.21,0.38235
BVMT,main,Con - (PD-MCI),2.42105617616537,0.472882364112402,2.4262285016332,0.482255470393111,0.89,1.66138343196954,3.20236274122234,1,1,-0.21,0.21,0
BVMT,main,(PD-NC) - (PD-MCI),2.35178144229744,0.51478693625293,2.3515063164763,0.526505777827209,0.89,1.52214999170012,3.2038241685979,0.99995,1,-0.21,0.21,5e-05
BVMT,simple,Trial1 Con - (Trial1 PD-NC),-0.00523906077984027,0.458104622417268,-0.00375479808455932,0.46530495820348,0.89,-0.715450854011203,0.77416906366462,0.50455,1,-0.21,0.21,0.3512
BVMT,simple,Trial1 Con - (Trial1 PD-MCI),2.22262416639094,0.512526741125682,2.22254286460703,0.527188649889074,0.89,1.39556595668193,3.08832324649385,1,1,-0.21,0.21,5e-05
BVMT,simple,(Trial1 PD-NC) - (Trial1 PD-MCI),2.22558056770435,0.568640595501883,2.22629766269159,0.574087341431713,0.89,1.26663834936586,3.10392377179073,0.99985,1,-0.21,0.21,2e-04
